证券代码,交易日期,日开盘价,日最高价,日最低价,日收盘价,日个股交易股数,日个股交易金额,涨跌幅,换手率(流通股数)(%)
300313,2022-01-04,7.74,8.02,7.72,7.89,5580900,44114623,0.026008,3.030149
300313,2022-01-05,7.8,7.99,7.8,7.83,4054116,31955442,-0.007605,2.201182
300313,2022-01-06,7.86,7.86,7.7,7.79,3540000,27493464,-0.005109,1.922042
300313,2022-01-07,7.78,7.87,7.58,7.59,3838000,29578265,-0.025674,2.083841
300313,2022-01-10,7.59,7.76,7.56,7.7,2755900,21181538,0.014493,1.496315
300313,2022-01-11,7.67,7.75,7.61,7.73,3086500,23717411,0.003896,1.675815
300313,2022-01-12,7.7,7.87,7.67,7.82,4165000,32446816,0.011643,2.261386
300313,2022-01-13,7.79,7.92,7.71,7.71,3663200,28634515,-0.014066,1.988934
300313,2022-01-14,7.66,8.88,7.66,8.34,16703953,140892826,0.081712,9.069408
300313,2022-01-17,8.06,8.25,7.79,8.17,9126100,73542139,-0.020384,4.955014
300313,2022-01-18,8.1,8.22,7.83,7.88,6171400,49127232,-0.035496,3.350761
300313,2022-01-19,7.83,7.95,7.73,7.81,3624401,28314963,-0.008883,1.967868
300313,2022-01-20,7.8,8.04,7.72,7.82,4960100,39308450,0.00128,2.693085
300313,2022-01-21,7.82,7.82,7.2,7.2,6548900,47870680,-0.079284,3.555724
300313,2022-01-24,7.2,7.2,6.87,6.92,4006300,27858231,-0.038889,2.17522
300313,2022-01-25,6.88,7.12,6.82,6.85,3431200,23904646,-0.010116,1.862969
300313,2022-01-26,6.79,7,6.74,6.76,2196175,14944088,-0.013139,1.192413
300313,2022-01-27,6.85,6.85,6.21,6.29,3718700,24095558,-0.069527,2.019068
300313,2022-01-28,6.32,6.55,6.28,6.4,2864500,18293799,0.017488,1.55528
300313,2022-02-07,6.37,6.57,6.36,6.45,3081700,19903903,0.007813,1.673208
300313,2022-02-08,6.4,6.59,6.39,6.55,2782875,18148868,0.015504,1.510962
300313,2022-02-09,6.66,6.83,6.6,6.74,3649775,24624580,0.029008,1.981645
300313,2022-02-10,6.75,6.95,6.64,6.77,3772800,25605069,0.004451,2.048441
300313,2022-02-11,6.76,6.79,6.45,6.5,3795900,24899655,-0.039882,2.060983
300313,2022-02-14,6.42,6.59,6.4,6.52,2161700,14099502,0.003077,1.173695
300313,2022-02-15,6.52,6.55,6.44,6.5,1729400,11227823,-0.003067,0.938977
300313,2022-02-16,6.5,6.55,6.47,6.52,2063402,13422513,0.003077,1.120324
300313,2022-02-17,6.5,6.53,6.41,6.43,2372100,15341052,-0.013804,1.287931
300313,2022-02-18,6.37,6.51,6.33,6.49,1904600,12268897,0.009331,1.034102
300313,2022-02-21,6.51,6.96,6.48,6.74,4997300,33737804,0.038521,2.713283
300313,2022-02-22,6.73,6.98,6.63,6.82,5720700,39054591,0.011869,3.106053
300313,2022-02-23,6.9,7.35,6.9,7.08,6563375,46693449,0.038123,3.563583
300313,2022-02-24,6.91,7.48,6.91,7.1,8652300,62435012,0.002825,4.697765
300313,2022-02-25,7.01,7.21,6.92,6.94,5179600,36391224,-0.022535,2.812263
300313,2022-02-28,6.9,6.97,6.69,6.73,3174570,21463169,-0.030259,1.723632
300313,2022-03-01,6.86,6.86,6.72,6.8,2485102,16833530.58,0.010401,1.349286
300313,2022-03-02,6.79,7.09,6.72,6.94,4316600,29999463,0.020588,2.343697
300313,2022-03-03,6.9,7.03,6.8,6.83,2937700,20188382,-0.01585,1.595024
300313,2022-03-04,6.86,6.88,6.6,6.63,3561300,23994136,-0.029283,1.933607
300313,2022-03-07,6.59,6.74,6.48,6.52,2536100,16735624,-0.016591,1.376975
300313,2022-03-08,6.58,6.58,6.31,6.37,2649100,16937009,-0.023006,1.438328
300313,2022-03-09,6.4,6.46,5.98,6.29,2732100,17156899,-0.012559,1.483393
300313,2022-03-10,6.4,6.44,6.31,6.36,1975800,12618198,0.011129,1.07276
300313,2022-03-11,6.36,6.65,6.27,6.53,3764200,24471100,0.02673,2.043772
300313,2022-03-14,6.38,6.6,6.38,6.43,2489800,16076527,-0.015314,1.351836
300313,2022-03-15,6.42,6.42,6.06,6.08,2997300,18576961,-0.054432,1.627384
300313,2022-03-16,6.12,6.22,5.91,6.19,3171900,19354095.25,0.018092,1.722183
300313,2022-03-17,6.18,6.38,6.18,6.24,3047900,19153735,0.008078,1.654857
300313,2022-03-18,6.27,6.43,6.24,6.34,2387002,15126866.68,0.016026,1.296022
300313,2022-03-21,6.35,7.01,6.33,6.8,8041800,54188562,0.072555,4.366294
300313,2022-03-22,6.77,6.81,6.56,6.64,4999200,33293095,-0.023529,2.714315
300313,2022-03-23,6.6,6.71,6.49,6.57,2671400,17588866,-0.010542,1.450436
300313,2022-03-24,6.55,6.72,6.47,6.47,3120200,20514307,-0.015221,1.694112
300313,2022-03-25,6.41,6.69,6.41,6.49,2930600,19186573,0.003091,1.591169
300313,2022-03-28,6.46,6.65,6.43,6.45,2479700,16178001,-0.006163,1.346353
300313,2022-03-29,6.44,6.77,6.44,6.67,5240377,34659735.74,0.034109,2.845262
300313,2022-03-30,6.6,6.93,6.56,6.7,5883200,39755958,0.004498,3.194282
300313,2022-03-31,6.6,6.69,6.42,6.46,4780800,31260967,-0.035821,2.595735
300313,2022-04-01,6.44,6.51,6.33,6.35,2972828,19008529.52,-0.017028,1.614096
300313,2022-04-06,6.37,6.55,6.3,6.48,2957300,19010238,0.020472,1.605666
300313,2022-04-07,6.45,6.56,6.27,6.27,3041400,19452491,-0.032407,1.651328
300313,2022-04-08,6.25,6.29,6.01,6.1,2104800,12880250,-0.027113,1.142801
300313,2022-04-11,6.09,6.28,6.04,6.19,3614883,22262606.47,0.014754,1.9627
300313,2022-04-12,6.16,6.16,5.97,6.11,2853200,17271630,-0.012924,1.549144
300313,2022-04-13,6.13,6.16,5.93,5.94,2585400,15562514,-0.027823,1.403742
300313,2022-04-14,5.95,6.03,5.94,5.96,1966300,11751567,0.003367,1.067602
300313,2022-04-15,5.94,5.94,5.5,5.58,4209502,23749086.04,-0.063758,2.285548
300313,2022-04-18,5.55,5.68,5.53,5.62,1916002,10763503.22,0.007168,1.040293
300313,2022-04-19,5.63,5.8,5.57,5.65,2871800,16345344,0.005338,1.559243
300313,2022-04-20,5.61,5.63,5.12,5.18,7119700,37883708,-0.083186,3.86564
300313,2022-04-21,5.1,5.14,4.67,4.68,7058102,34057901.6,-0.096525,3.832195
300313,2022-04-22,4.6,4.69,4.44,4.46,4475300,20404905,-0.047009,2.429863
300313,2022-04-25,4.37,5.08,4.26,4.52,7568800,35504953,0.013453,4.109479
300313,2022-04-26,4.15,4.51,4.15,4.22,5051400,21725550,-0.066372,2.742657
300313,2022-04-27,4.3,4.98,4.25,4.69,8157780,37570598.32,0.111374,4.429265
300313,2022-04-28,4.69,5.05,4.48,4.69,8706453,41666515.35,0.0,4.727167
300313,2022-04-29,4.71,4.81,4.62,4.76,5261000,24879911,0.014925,2.856459
300313,2022-05-05,4.76,5.28,4.65,5.07,6715400,33263246,0.065126,3.646125
300313,2022-05-06,4.95,5.22,4.85,4.86,5727453,28649389.23,-0.04142,3.10972
300313,2022-05-09,4.71,4.91,4.71,4.88,3519553,17005016.52,0.004115,1.910941
300313,2022-05-10,4.84,5.01,4.8,4.91,3513300,17228674,0.006148,1.907546
300313,2022-05-11,4.95,5.01,4.75,4.79,4067400,19930484,-0.02444,2.208394
300313,2022-05-12,4.71,4.87,4.71,4.76,2757602,13172557.6,-0.006263,1.49724
300313,2022-05-13,4.77,4.84,4.68,4.7,2335000,11057626,-0.012605,1.267788
300313,2022-05-16,4.78,5.64,4.73,5.64,12804902,67080969.28,0.2,6.952419
300313,2022-05-17,5.9,6.6,5.78,6.48,19227530,120480248.15,0.148936,10.439584
300313,2022-05-18,6.09,6.56,5.76,6.26,12161077,75549239.09,-0.033951,6.602855
300313,2022-05-19,6.27,7.51,6.27,7.51,22916155,164288573.54,0.199681,12.442323
300313,2022-05-20,7.26,8.56,7,7.42,25329439,195453917.81,-0.011984,13.752615
300313,2022-05-23,7.2,7.9,7.2,7.54,15870355,120444841.42,0.016173,8.616807
300313,2022-05-24,7.4,7.65,6.88,7,16031355,114678104.96,-0.071618,8.704222
300313,2022-05-25,6.8,7.73,6.71,7.29,15229704,112056173.38,0.041429,8.268965
300313,2022-05-26,7.2,7.43,6.88,6.95,11084653,77554932.82,-0.046639,6.01841
300313,2022-05-27,6.96,7.13,6.44,6.69,11964882,80438613.26,-0.03741,6.496331
300313,2022-05-30,6.71,7.35,6.7,7.08,13647100,97340615,0.058296,7.409691
300313,2022-05-31,6.89,7.47,6.68,7.21,14231300,102235677,0.018362,7.726882
300313,2022-06-01,7.2,7.34,6.88,6.89,10471762,73589751,-0.044383,5.685641
300313,2022-06-02,6.89,6.99,6.6,6.68,8156100,55045562,-0.030479,4.428353
300313,2022-06-06,6.6,6.86,6.54,6.69,7153800,47848035,0.001497,3.884155
300313,2022-06-07,6.7,6.75,6.28,6.35,9045100,58132713,-0.050822,4.911036
300313,2022-06-08,6.3,6.36,6.08,6.31,7828053,48498770.72,-0.006299,4.25024
300313,2022-06-09,6.29,6.52,6.1,6.16,7689000,48582976,-0.023772,4.174741
300313,2022-06-10,6.03,6.18,6.02,6.08,4460902,27268063.16,-0.012987,2.422046
300313,2022-06-13,6.1,7.3,6.09,7.3,19228614,130877558.72,0.200658,10.440173
300313,2022-06-14,7.5,8.23,7.35,7.51,22999100,177982283,0.028767,12.487357
300313,2022-06-15,7.41,7.75,7.06,7.73,17627212,129683469.08,0.029294,9.570692
300313,2022-06-16,7.66,8.1,7.49,7.5,15511312,120866741.32,-0.029754,8.421864
300313,2022-06-17,7.28,7.43,7.08,7.18,10713592,77307762.56,-0.042667,5.816943
300313,2022-06-20,7.15,7.79,7.15,7.32,10724400,80399925,0.019499,5.822811
300313,2022-06-21,7.35,7.36,7,7.09,9522712,67409450.04,-0.031421,5.170355
300313,2022-06-22,6.98,7.09,6.79,7.07,7733100,53695021,-0.002821,4.198685
300313,2022-06-23,7.05,7.52,6.96,7.1,9533700,69119219.8,0.004243,5.176321
300313,2022-06-24,7.09,7.23,6.97,7.06,6282432,44333228.92,-0.005634,3.411045
300313,2022-06-27,7.08,7.77,7.08,7.4,13958892,104462667.48,0.048159,7.578978
300313,2022-06-28,7.23,7.68,7.23,7.36,10178800,75236645.31,-0.005405,5.526578
300313,2022-06-29,7.26,7.33,7.01,7.03,7275954,51630579.62,-0.044837,3.950478
300313,2022-06-30,7.06,7.29,7.06,7.13,5384400,38439435,0.014225,2.923459
300313,2022-07-01,7.13,7.23,7,7.1,4996832,35393884.64,-0.004208,2.713029
300313,2022-07-04,7.11,7.47,7.11,7.37,8990154,66077689.58,0.038028,4.881203
300313,2022-07-05,7.36,7.41,7.06,7.15,7098956,50678122.56,-0.029851,3.854377
300313,2022-07-06,7.16,7.17,6.81,6.87,6520775,45160644.36,-0.039161,3.540454
300313,2022-07-07,6.99,6.99,6.62,6.75,4642172,31464604.64,-0.017467,2.520467
300313,2022-07-08,6.75,6.84,6.68,6.79,3776400,25504327,0.005926,2.050396
300313,2022-07-11,6.88,7.25,6.84,6.93,8418092,59614516.32,0.020619,4.570602
300313,2022-07-12,6.92,6.93,6.57,6.6,5727500,38082767,-0.047619,3.109745
300313,2022-07-13,6.6,6.69,6.41,6.66,4266400,28049300,0.009091,2.316441
300313,2022-07-14,6.78,6.78,6.57,6.62,3077700,20414325,-0.006006,1.671037
300313,2022-07-15,6.53,7.66,6.51,7.01,8987618,63385773,0.058912,4.879826
300313,2022-07-18,6.9,7.23,6.85,7.05,5999918,42467765.7,0.005706,3.257654
300313,2022-07-19,7.02,7.25,6.95,7.13,5723938,40556281.32,0.011348,3.107811
300313,2022-07-20,7.1,7.21,6.99,7.06,4557802,32059047.02,-0.009818,2.474658
300313,2022-07-21,7.03,7.45,6.98,7.12,7549602,54441304.54,0.008499,4.099055
300313,2022-07-22,7.08,7.32,7.01,7.16,6271300,44825290,0.005618,3.405001
300313,2022-07-25,7.15,7.25,7.07,7.08,3819400,27231480,-0.011173,2.073743
300313,2022-07-26,7.07,7.4,7,7.27,6756200,48770605,0.026836,3.668278
300313,2022-07-27,7.27,7.36,7.15,7.19,4558918,32961362.88,-0.011004,2.475264
300313,2022-07-28,7.18,7.28,7.03,7.09,4365800,31214373,-0.013908,2.37041
300313,2022-07-29,7.1,7.24,7.04,7.12,3814400,27200894,0.004231,2.071028
300313,2022-08-01,7.13,7.19,7.02,7.07,3514300,24795816,-0.007022,1.908089
300313,2022-08-02,7.06,7.07,6.57,6.58,5745292,38593227.88,-0.069307,3.119405
