证券代码,交易日期,日开盘价,日最高价,日最低价,日收盘价,日个股交易股数,日个股交易金额,涨跌幅,换手率(流通股数)(%)
300125,2022-01-04,16.62,16.71,16.01,16.08,6963503,112666108,-0.032491,2.645526
300125,2022-01-05,16.1,16.17,15.3,15.59,5122940,79907135,-0.030473,1.946272
300125,2022-01-06,15.5,16.03,15.31,15.86,3442237,54235372,0.017319,1.307751
300125,2022-01-07,15.86,15.92,15.03,15.1,4966453,76300664,-0.047919,1.886821
300125,2022-01-10,15.14,15.52,15.08,15.2,4704018,71917781,0.006623,1.787118
300125,2022-01-11,15.17,15.39,15.02,15.05,3681501,55790501,-0.009868,1.398651
300125,2022-01-12,14.9,15.29,14.83,15.17,4289076,64773499,0.007973,1.629476
300125,2022-01-13,15.19,15.27,14.88,14.96,2083761,31255350,-0.013843,0.791648
300125,2022-01-14,15.01,15.29,14.7,15.23,2352300,35596397,0.018048,0.89367
300125,2022-01-17,15.26,15.36,14.66,14.84,5875919,87427335,-0.025607,2.232339
300125,2022-01-18,14.01,14.2,12.57,13.13,13951774,183986982,-0.115229,5.300462
300125,2022-01-19,12.97,13.38,12.95,13.29,5298706,70169422,0.012186,2.013048
300125,2022-01-20,13.35,13.35,12.86,13.32,4729837,62050296,0.002257,1.796927
300125,2022-01-21,13.24,13.37,13.05,13.2,2010856,26633796,-0.009009,0.763951
300125,2022-01-24,12.97,13.23,12.94,13.07,2742000,35834921,-0.009848,1.041722
300125,2022-01-25,13.15,13.15,12.59,12.83,3084506,39942265,-0.018363,1.171844
300125,2022-01-26,12.93,13.32,12.6,12.9,3850365,49856813,0.005456,1.462804
300125,2022-01-27,12.88,13.09,12.35,12.35,3182866,40314034,-0.042636,1.209213
300125,2022-01-28,12.3,12.92,12.3,12.92,3775487,48020062,0.046154,1.434357
300125,2022-02-07,12.85,13.27,12.7,12.75,2689015,34621202,-0.013158,1.021592
300125,2022-02-08,12.75,12.88,12.42,12.65,1730726,21853042,-0.007843,0.657526
300125,2022-02-09,12.68,12.97,12.42,12.95,2379827,30575980,0.023715,0.904128
300125,2022-02-10,12.99,13.05,12.57,12.71,1372048,17462747,-0.018533,0.521259
300125,2022-02-11,12.62,12.75,12.3,12.36,2366000,29448022,-0.027537,0.898875
300125,2022-02-14,12.31,12.76,12.21,12.7,2052485,25939456,0.027508,0.779766
300125,2022-02-15,12.7,12.93,12.42,12.93,2256275,28763676,0.01811,0.857189
300125,2022-02-16,12.86,13.39,12.86,13.19,2679167,35412496,0.020108,1.017851
300125,2022-02-17,13.1,13.36,13.05,13.13,2198735,29042717,-0.004549,0.835328
300125,2022-02-18,13.09,13.35,13.08,13.26,1562600,20644645,0.009901,0.593652
300125,2022-02-21,13.2,13.69,13.02,13.57,2485800,33405422,0.023379,0.944388
300125,2022-02-22,13.57,14.03,13.27,13.94,3506130,48169606,0.027266,1.332025
300125,2022-02-23,14.03,14.2,13.85,13.96,2378300,33449662,0.001435,0.903547
300125,2022-02-24,13.98,14.13,13.33,13.5,3540368,48586303,-0.032951,1.345032
300125,2022-02-25,13.59,13.87,13.45,13.51,1986032,26983644,0.000741,0.75452
300125,2022-02-28,13.62,15.4,13.29,15.1,9590874,139490404,0.117691,3.643699
300125,2022-03-01,15.74,15.95,14.37,14.85,8216624,123017056.19,-0.016556,3.121604
300125,2022-03-02,14.79,14.82,14.26,14.41,4847875,69900283.44,-0.02963,1.841771
300125,2022-03-03,14.4,14.56,14.18,14.26,2383978,34148340.25,-0.010409,0.905705
300125,2022-03-04,14.2,15.02,14.12,14.87,6297891,92902041.26,0.042777,2.392652
300125,2022-03-07,14.96,15.9,14.63,15.43,9392972,144595637.58,0.03766,3.568514
300125,2022-03-08,15.41,15.97,15.04,15.75,9776206,153340347.91,0.020739,3.714109
300125,2022-03-09,15.1,15.98,14.55,15.34,10446348,160769991.11,-0.026032,3.968705
300125,2022-03-10,15.6,16.15,15.33,16.13,7885858,124293597.16,0.051499,2.995941
300125,2022-03-11,15.91,15.98,15.52,15.61,5177272,81405283.46,-0.032238,1.966914
300125,2022-03-14,15.58,15.82,15.22,15.51,4021770,62742317.7,-0.006406,1.527923
