证券代码,交易日期,日开盘价,日最高价,日最低价,日收盘价,日个股交易股数,日个股交易金额,涨跌幅,换手率(流通股数)(%)
300557,2022-01-04,31.25,31.25,30.3,30.68,807500,24732247,-0.008403,1.458064
300557,2022-01-05,30.68,31.12,30.02,30.38,644200,19561706,-0.009778,1.163201
300557,2022-01-06,30.3,31.88,30.03,31.44,1188711,37082103,0.034891,2.146398
300557,2022-01-07,31.39,31.74,30.2,30.2,964900,29710616,-0.03944,1.742273
300557,2022-01-10,30,30.79,29.76,30.43,642197,19495036,0.007616,1.159584
300557,2022-01-11,30.48,31.16,30.25,30.31,638997,19548730,-0.003943,1.153806
300557,2022-01-12,30.31,31.89,30.25,31.57,1312200,41161657,0.04157,2.369376
300557,2022-01-13,31.89,31.89,30.96,31.23,770213,23991439,-0.01077,1.390736
300557,2022-01-14,31.1,31.59,30.62,30.68,696713,21622628,-0.017611,1.258021
300557,2022-01-17,30.58,31.56,30.58,31.42,878886,27501184,0.02412,1.586962
300557,2022-01-18,31.42,31.76,30.39,30.67,1078186,33277993,-0.02387,1.946828
300557,2022-01-19,30.69,31.55,30.69,31.3,679361,21169373,0.020541,1.226689
300557,2022-01-20,31.45,31.45,29.92,30.04,950361,28884754,-0.040256,1.716021
300557,2022-01-21,30,30.8,29.78,30.36,596900,18086881,0.010652,1.077794
300557,2022-01-24,30.59,30.59,29.88,30.04,571200,17186237,-0.01054,1.031388
300557,2022-01-25,29.91,30.22,27.91,27.94,774700,22259548,-0.069907,1.398838
300557,2022-01-26,28.26,28.7,27.92,28.25,596948,16854800,0.011095,1.07788
300557,2022-01-27,28,28.35,27.66,27.75,665500,18637248,-0.017699,1.201661
300557,2022-01-28,27.73,29.09,27.73,28.72,472100,13481594,0.034955,0.852448
300557,2022-02-07,29.16,29.38,28.39,28.63,579310,16603381,-0.003134,1.046032
300557,2022-02-08,28.63,29.45,28.4,29.35,550400,16027640,0.025148,0.993831
300557,2022-02-09,29.24,29.83,29.13,29.69,352300,10386417,0.011584,0.636131
300557,2022-02-10,29.62,29.81,29.18,29.71,434700,12802482,0.000674,0.784917
300557,2022-02-11,29.55,29.63,28.88,29.15,467500,13622049,-0.018849,0.844142
300557,2022-02-14,29.15,29.8,28.6,29.19,464500,13612648,0.001372,0.838725
300557,2022-02-15,29.2,29.58,28.72,29.47,389000,11381771,0.009592,0.702399
300557,2022-02-16,29.47,30.8,29.29,30.41,760400,22955031,0.031897,1.373018
300557,2022-02-17,30.44,30.89,30.12,30.43,666789,20385470,0.000658,1.203989
300557,2022-02-18,30.4,30.75,30.06,30.51,374900,11405120,0.002629,0.676939
300557,2022-02-21,30.48,30.99,30.1,30.96,791300,24205661,0.014749,1.428812
300557,2022-02-22,30.52,30.97,30.21,30.79,621000,19004840,-0.005491,1.12131
300557,2022-02-23,30.7,31.41,30.48,31.39,789300,24524525,0.019487,1.425201
300557,2022-02-24,31.23,34.11,30.71,32.55,3091928,101249547,0.036954,5.582945
300557,2022-02-25,32.55,32.84,31.95,32.06,1298000,41932827,-0.015054,2.343736
300557,2022-02-28,32.1,32.24,30.8,31,1433600,44763567,-0.033063,2.588582
300557,2022-03-01,31.1,32.66,31,31.77,1133200,36095543,0.024839,2.046165
300557,2022-03-02,31.4,32.39,31.39,31.86,633600,20220130,0.002833,1.144061
300557,2022-03-03,31.71,32.26,30.81,31.21,1008400,31502108,-0.020402,1.820819
300557,2022-03-04,31.21,31.35,30.3,30.44,824335,25350621.95,-0.024672,1.488462
300557,2022-03-07,30.7,31,30.19,30.35,585200,17884613,-0.002957,1.056667
300557,2022-03-08,30.68,30.68,29.03,29.15,713300,21099190,-0.039539,1.287971
300557,2022-03-09,29.34,29.62,27.4,28.58,716200,20485533,-0.019554,1.293208
300557,2022-03-10,29.95,31.1,29.37,30.46,1430300,43542167,0.06578,2.582624
300557,2022-03-11,30.08,31.8,29.77,31.72,1807388,56182468.44,0.041366,3.263513
300557,2022-03-14,31.21,32.83,31.21,31.81,1498300,47955498,0.002837,2.705408
300557,2022-03-15,31.68,32.27,30.54,30.54,1574800,49555898,-0.039925,2.84354
300557,2022-03-16,30.65,32.69,30.65,32.49,2071378,65799845.98,0.063851,3.740187
300557,2022-03-17,32.39,33.78,32.05,33.11,2143157,71057744.9,0.019083,3.869795
300557,2022-03-18,32.95,34.4,32.5,34.08,1745713,59009106.78,0.029296,3.15215
300557,2022-03-21,33.52,34.34,33.2,33.5,1778800,59759065,-0.017019,3.211893
300557,2022-03-22,33.73,33.83,32.51,32.79,1084600,35555880,-0.021194,1.95841
300557,2022-03-23,32.75,32.9,31.96,32.23,1047700,33763704,-0.017078,1.891781
300557,2022-03-24,32.05,32.41,31.41,31.64,754400,23980307,-0.018306,1.362184
300557,2022-03-25,31.53,31.98,31.33,31.4,713500,22544035,-0.007585,1.288333
300557,2022-03-28,31.5,31.81,30.73,31.26,627800,19617033,-0.004459,1.133588
300557,2022-03-29,31.27,31.67,30.19,30.26,766200,23467531,-0.03199,1.38349
300557,2022-03-30,30.57,30.83,30.2,30.63,787800,24041704,0.012227,1.422492
300557,2022-03-31,30.27,31.3,29.71,31.23,816200,25071829,0.019589,1.473773
300557,2022-04-01,31.08,31.08,29.21,29.25,1626300,48488771,-0.063401,2.936531
300557,2022-04-06,29.49,30.26,29.2,30.09,661000,19788715,0.028718,1.193536
300557,2022-04-07,30.07,30.26,29.26,29.3,688300,20428299,-0.026255,1.24283
300557,2022-04-08,29.39,29.56,28.41,28.72,502400,14466691,-0.019795,0.907159
300557,2022-04-11,28.93,29.46,28.49,28.97,649526,18828448.54,0.008705,1.166774
300557,2022-04-12,29.1,30.56,28.93,30.56,914126,27438796.06,0.054884,1.642087
300557,2022-04-13,30.43,30.6,29.98,30.1,496900,15000800,-0.015052,0.892605
300557,2022-04-14,30.31,30.39,29.29,29.48,646700,19179267,-0.020598,1.161697
300557,2022-04-15,29.12,29.37,27.5,27.82,1024512,28927339,-0.056309,1.840379
300557,2022-04-18,27.8,28.23,26.82,28.15,489100,13503913,0.011862,0.878593
300557,2022-04-19,28.03,28.55,27.36,27.68,422188,11748345.12,-0.016696,0.758396
300557,2022-04-20,27.77,28.4,27.41,27.77,407566,11413940.7,0.003251,0.73213
300557,2022-04-21,27.51,27.78,26.33,26.34,604188,16265101.24,-0.051494,1.085331
300557,2022-04-22,26.31,26.95,25.8,26.71,491772,12999331.16,0.014047,0.883393
300557,2022-04-25,26.24,26.24,24.33,24.52,606400,15332769.52,-0.081992,1.089305
300557,2022-04-26,24.51,25.26,23,23.18,652976,15666500.2,-0.054649,1.172971
300557,2022-04-27,22.83,23.88,22.48,23.59,592600,13641042,0.017688,1.064515
300557,2022-04-28,23.55,23.83,22.48,22.84,628900,14524978,-0.031793,1.129722
300557,2022-04-29,23.1,24.13,22.81,24.04,586330,13856450.1,0.052539,1.053252
300557,2022-05-05,24,24.76,23.57,24.37,412130,9997182.8,0.013727,0.740328
300557,2022-05-06,24.12,24.2,23.65,24.13,453576,10838225.56,-0.009848,0.81478
300557,2022-05-09,24.13,24.83,24.09,24.58,371100,9097394,0.018649,0.666624
300557,2022-05-10,24.46,25.25,24.18,25.09,480700,11963444,0.020749,0.863504
300557,2022-05-11,24.81,25.53,24.76,24.84,598499,15097013.8,-0.009964,1.075112
300557,2022-05-12,24.83,25.35,24.75,25.15,376993,9458541.1,0.01248,0.67721
300557,2022-05-13,25.59,25.59,24.88,25.01,348300,8709171,-0.005567,0.625668
300557,2022-05-16,25.39,25.5,24.63,24.93,355500,8855540,-0.003199,0.638601
300557,2022-05-17,25.03,25.18,24.6,25.07,385393,9592350.42,0.005616,0.692299
300557,2022-05-18,25.32,26.03,24.91,25.42,613100,15576576,0.013961,1.10134
300557,2022-05-19,25.1,25.53,24.99,25.39,333604,8442028.8,-0.00118,0.599268
300557,2022-05-20,25.58,25.67,25.11,25.4,400800,10165572.72,0.000394,0.719976
300557,2022-05-23,25.35,25.76,25.16,25.74,455661,11631794.28,0.013386,0.818525
300557,2022-05-24,25.75,25.97,24.4,24.41,703151,17759649.65,-0.051671,1.263103
300557,2022-05-25,24.33,25.35,24.33,25.2,556082,13903273.56,0.032364,0.998916
300557,2022-05-26,25.49,25.63,24.8,25.34,542004,13653136.52,0.005556,0.973627
300557,2022-05-27,25.21,25.88,25.21,25.8,492504,12622745.6,0.018153,0.884708
300557,2022-05-30,25.81,26.8,25.75,26.55,801323,21184532.61,0.02907,1.439454
300557,2022-05-31,26.68,26.8,26,26.39,595400,15665682,-0.006026,1.069545
300557,2022-06-01,26.61,26.85,26.25,26.53,510600,13565547,0.005305,0.917215
300557,2022-06-02,26.52,27,26.37,26.89,630700,16836829,0.019719,1.132956
300557,2022-06-06,26.82,27.34,26.82,27.03,594831,16080372.05,0.005206,1.068523
