证券代码,证券简称,上市日期,是否属于风险警示板,净资产收益率ROE(加权),总资产净利率ROA,销售净利率,营业利润/营业总收入,营业收入(同比增长率),净利润(同比增长率),净资产(同比增长率),营业利润(同比增长率),应收账款周转率,存货周转率,流动资产周转率,总资产周转率,流动比率,速动比率,现金比率,经营活动产生的现金流量净额/流动负债,资产负债率,经营活动产生的现金流量净额/营业收入,净利润现金含量,营运资本/总资产,留存收益/总资产,股东权益合计(含少数)/负债总计,所属Wind行业名称
300313.SZ,ST天山,0,1.0,2.77,0.2451,1.5384,-4.8782,-28.6876,104.1836,3.8544,91.3665,16.2574,2.4107,1.513,0.1593,0.1002,0.0388,0.0219,0.0184,83.5653,8.38,324.8631,-73.9729,-34.4599,19.6669,日常消费
300269.SZ,联建光电,0,1.0,-86.17,-14.0375,-27.8374,-34.1365,-62.3351,77.1105,-81.2284,69.1411,3.1382,3.3673,0.8896,0.5043,0.5874,0.4569,0.1609,0.0512,93.6311,6.85,-24.6169,-36.8167,-239.1352,6.8021,信息技术
300159.SZ,新研股份,0,1.0,-90.62,-13.7341,-58.0187,-49.0827,-25.8974,73.3635,-90.7701,77.6582,2.1118,1.5556,0.5484,0.2367,0.5539,0.4408,0.1339,0.0916,89.8115,30.07,-56.1618,-36.9159,-122.1178,11.3443,工业
300370.SZ,安控科技,0,1.0,-65.52,-13.5296,-67.3584,-72.1432,-49.5952,-2260.1082,-49.1016,-2044.1734,0.958,1.4142,0.3748,0.2009,0.7021,0.5843,0.1376,-0.0049,82.6465,-1.71,2.6157,-22.0897,-21.9174,20.9973,工业
300338.SZ,*ST开元,0,1.0,-76.13,-43.4312,-92.4681,-94.5918,-42.9174,-26.2624,-64.7554,-40.318,10.1132,28.8453,1.3708,0.4697,0.472,0.4605,0.1766,-0.083,64.814,-8.96,9.9473,-33.8106,-66.1005,54.2876,可选消费
300029.SZ,ST天龙,0,1.0,-107.08,-21.364,-26.4917,-13.6646,606.7099,57.8909,-58.5782,67.2194,2.4405,6.9106,1.6738,0.8064,0.7114,0.5777,0.0039,-0.1446,91.3997,-22.65,85.949,-26.3771,-488.5509,9.4095,信息技术
300301.SZ,*ST长方,0,1.0,-3.22,-1.2607,-2.902,-0.6563,-19.4286,91.1951,-2.9893,98.1701,2.0644,4.3769,1.0202,0.4344,0.8333,0.6823,0.2128,0.11,57.7491,11.26,-387.7498,-8.1191,-14.2335,73.1627,信息技术
300201.SZ,海伦哲,0,1.0,2.53,0.7512,1.0658,3.1865,32.6565,296.91,1.2939,8821.9556,3.0968,4.0236,1.1451,0.7049,1.1131,0.9124,0.4284,0.4395,59.9216,34.42,2413.9343,6.3096,0.2599,66.8846,工业
300256.SZ,星星科技,0,1.0,-38.488,-34.9065,-54.3893,-54.7292,-18.4869,-1832.6944,-228.7658,-2216.196,4.2304,5.154,1.2721,0.6418,0.5181,0.3963,0.1589,-0.2625,112.3708,-36.23,68.1277,-47.1332,-76.2509,-11.0089,信息技术
300044.SZ,赛为智能,0,1.0,-3.47,-9.352,-31.6645,-36.7925,6.1721,-2.9345,-29.528,-20.1012,1.3749,2.489,0.557,0.2953,1.0939,1.0741,0.1838,-0.1132,72.6094,-17.14,54.0903,4.2066,-7.4172,37.7233,信息技术
300731.SZ,科创新源,0,0.0,4.7,3.2901,9.0355,10.1516,0.3316,-29.1679,9.1653,-34.1966,3.8334,2.2733,0.6103,0.3641,1.8334,1.5127,0.8672,0.1732,32.0844,16.81,193.7683,25.3629,14.926,211.678,材料
300030.SZ,阳普医疗,0,0.0,17.7,10.0457,17.7673,18.0572,59.8483,524.8409,19.5877,341.7383,3.4614,4.1117,1.1768,0.5654,1.851,1.5262,0.5846,0.3041,42.5241,15.37,86.9298,22.663,16.3686,135.1605,医疗保健
