证券代码,证券简称,上市日期,是否属于风险警示板,净资产收益率ROE(加权),总资产净利率ROA,销售净利率,营业利润/营业总收入,营业收入(同比增长率),净利润(同比增长率),净资产(同比增长率),营业利润(同比增长率),应收账款周转率,存货周转率,流动资产周转率,总资产周转率,流动比率,速动比率,现金比率,经营活动产生的现金流量净额/流动负债,资产负债率,经营活动产生的现金流量净额/营业收入,净利润现金含量,营运资本/总资产,留存收益/总资产,股东权益合计(含少数)/负债总计,所属Wind行业名称
300108.SZ,*ST吉药,0,1.0,49.11,-12.3732,-58.6712,-49.1467,-28.5959,39.133,118.1441,38.2237,2.4775,1.7549,0.8241,0.2109,0.2799,0.1813,0.0156,-0.0176,116.4836,-6.94,12.3124,-62.5122,-96.239,-14.151,医疗保健
300163.SZ,ST先锋,0,1.0,-0.29,-0.2815,-0.6157,-2.7882,-0.5197,51.6483,-0.2202,34.9854,2.9984,1.4114,0.8198,0.4572,8.3194,4.2287,2.3621,1.9578,7.8919,27.69,-4913.801,48.9872,-1.7175,1167.1219,材料
300020.SZ,*ST银江,0,1.0,2.0,1.0291,4.1991,4.7335,-19.393,-29.2346,1.3187,-10.224,0.928,0.5884,0.3603,0.2451,1.6046,1.583,0.1176,0.0324,46.3104,5.59,129.7303,25.5944,19.8911,115.9344,信息技术
300220.SZ,金运激光,0,1.0,-46.07,-14.4338,-20.5957,-14.9141,-24.1697,15.7805,-37.4344,43.6664,12.7531,1.8353,1.5487,0.7008,0.9288,0.4695,0.1479,-0.0667,71.0622,-3.83,18.085,-3.0217,-38.5922,40.7217,信息技术
300209.SZ,*ST有树,0,1.0,-147.72,-34.5969,-46.687,-40.2987,-56.1141,86.6434,-82.9531,88.4989,4.8307,2.3806,1.3213,0.741,0.6369,0.3712,0.113,-0.0499,93.0513,-4.72,9.9697,-32.7149,-437.1406,7.4676,信息技术
300013.SZ,*ST新宁,0,1.0,-7.65,-0.091,-0.112,-2.5726,-24.5776,99.6059,-9.549,72.8405,3.0361,199.7729,1.944,0.8119,0.7785,0.7718,0.2533,0.1508,94.1213,9.64,-4021.4892,-12.4231,-155.2384,6.2459,工业
300208.SZ,*ST中程,0,1.0,-18.63,-3.6729,-17.1133,2.623,-47.5278,4.405,-15.7598,140.771,1.7954,0.2755,0.3106,0.2146,0.8582,0.8479,0.0386,0.0493,79.7966,17.88,-97.0836,-11.0814,-2.4459,25.3186,工业
300205.SZ,ST天喻,0,1.0,5.99,2.6817,4.8227,5.7574,25.2729,156.2433,6.2905,166.7458,3.6217,3.2029,0.8808,0.5561,1.2051,0.9931,0.5582,0.0589,54.421,5.7,118.249,10.8357,12.8106,83.7525,信息技术
300268.SZ,ST佳沃,0,1.0,-29.168,-11.781,-23.9201,-26.8254,20.2386,-301.0355,-147.7506,-236.3982,13.2371,1.7948,1.5744,0.4925,0.9441,0.2224,0.057,0.1737,100.5718,12.27,-61.1218,-1.9595,-22.7383,-0.5686,日常消费
300010.SZ,豆神教育,0,1.0,-131.472,-23.9387,-70.0599,-68.263,-9.6912,0.1356,-765.8579,-11.1286,3.3649,1.7194,0.6827,0.3417,0.4025,0.2829,0.0488,0.0341,129.7101,9.62,-14.1885,-71.6756,-181.8305,-22.905,可选消费
300117.SZ,*ST嘉寓,0,1.0,-119.23,-1.6514,-3.8242,-5.8202,36.652,94.4572,-74.3968,92.3825,1.9609,0.9029,0.5878,0.4318,0.7536,0.5398,0.0419,0.1152,99.4367,25.3,-661.657,-23.2715,-18.4922,0.5665,工业
300300.SZ,ST峡创,0,1.0,-38.87,-12.0675,-108.0312,-114.9389,-65.4354,51.5479,-31.9118,46.9016,1.5913,0.5616,0.2863,0.1117,0.5668,0.5532,0.0402,0.0158,72.4308,8.22,-7.643,-27.6787,-97.154,38.0629,信息技术
300301.SZ,*ST长方,0,1.0,-73.86,-19.2406,-30.8783,-32.0159,-54.1497,20.241,-53.9384,-28.0283,4.4942,4.6515,1.504,0.6231,0.5213,0.3811,0.1165,-0.1325,80.6409,-13.17,42.6429,-34.8237,-136.0513,24.0066,信息技术
300506.SZ,*ST名家,0,1.0,-62.65,-25.3918,-386.233,-348.5752,-77.5149,12.3643,-47.7066,18.8998,0.1641,0.4089,0.0887,0.0657,1.1634,1.1477,0.0859,-0.0392,64.7289,-28.83,7.4643,10.0086,-61.8793,54.4905,工业
300167.SZ,*ST迪威,0,1.0,-232.04,-39.1679,-62.0723,-48.9502,44.7034,-67.608,-73.2707,-36.1347,1.4434,8.6007,0.8272,0.631,1.0502,0.9732,0.1295,-0.1675,80.956,-18.28,29.5847,3.546,-92.3899,23.5239,信息技术
300536.SZ,*ST农尚,0,1.0,3.79,2.1148,6.082,8.6609,26.1113,1222.0878,3.8617,852.5812,1.0479,0.7863,0.4142,0.3477,2.175,2.175,0.2604,-0.3262,38.9271,-33.51,-553.8699,44.7619,31.521,156.8905,工业
300338.SZ,*ST开元,0,1.0,66.55,3.1369,5.077,-1.8506,-29.2241,107.2448,154.3255,97.4617,19.5535,22.715,3.1367,0.6179,0.2652,0.2456,0.0285,-0.1034,90.4562,-11.39,-222.192,-61.7253,-159.1037,10.5507,可选消费
