证券代码,证券简称,上市日期,是否属于风险警示板,净资产收益率ROE(加权),总资产净利率ROA,销售净利率,营业利润/营业总收入,营业收入(同比增长率),净利润(同比增长率),净资产(同比增长率),营业利润(同比增长率),应收账款周转率,存货周转率,流动资产周转率,总资产周转率,流动比率,速动比率,现金比率,经营活动产生的现金流量净额/流动负债,资产负债率,经营活动产生的现金流量净额/营业收入,净利润现金含量,营运资本/总资产,留存收益/总资产,股东权益合计(含少数)/负债总计,所属Wind行业名称
300108.SZ,*ST吉药,0,1.0,-135.314,-18.2873,-68.8281,-56.8062,5.5827,-12.7289,-1445.9795,-5.5243,2.3469,2.0203,0.8807,0.2657,0.3053,0.2028,0.0125,0.0157,118.6663,4.84,-7.3472,-60.9216,-77.1527,-15.7301,医疗保健
300220.SZ,金运激光,0,1.0,-35.34,-15.1818,-18.5441,-20.0758,76.2658,-11.6409,-30.0338,-10.4301,13.341,2.0662,1.4619,0.8187,0.9003,0.3765,0.0883,-0.2759,60.2096,-17.62,95.7672,-5.5946,-20.6722,66.0865,信息技术
300209.SZ,*ST有树,0,1.0,-151.26,-93.0921,-153.4001,-153.772,-64.9067,-209.375,-86.157,-258.5023,2.8567,2.2091,0.8967,0.6069,0.8331,0.5295,0.1145,-0.0367,68.7299,-1.76,1.1611,-11.075,-249.775,45.4971,信息技术
300268.SZ,ST佳沃,0,1.0,-37.02,-2.9561,-7.1717,-9.5882,1.5958,61.8796,-32.0169,58.8107,12.4153,1.7788,1.3605,0.4122,0.6335,0.163,0.0379,0.0577,90.7209,6.61,-105.2668,-17.0712,-12.6064,10.2282,日常消费
300010.SZ,豆神教育,0,1.0,-138.71,-17.5811,-63.3562,-55.474,-19.0484,73.7366,-87.1955,76.4002,2.6157,1.6021,0.551,0.2775,0.5451,0.4089,0.1272,0.0164,98.4488,4.89,-9.2558,-42.7567,-102.5391,1.5756,可选消费
300159.SZ,新研股份,0,1.0,-80.4,-8.3071,-20.7908,-18.8718,47.1415,62.7155,-76.7892,61.7401,4.273,1.8479,0.8694,0.3996,0.5051,0.3538,0.1013,0.0252,96.9902,5.31,-28.0656,-45.1692,-150.8076,3.1032,工业
300370.SZ,安控科技,0,1.0,-66.194,-33.2108,-158.5918,-138.8714,-11.6326,-108.1313,-191.4842,-70.1692,1.0098,1.6123,0.3977,0.2094,0.5227,0.4478,0.0908,0.0025,115.3748,1.07,-0.6898,-48.7586,-63.3523,-13.326,工业
300256.SZ,星星科技,0,1.0,-6.481999999999999,-27.0524,-44.2296,-49.8662,-37.7616,49.3875,113.534,43.2918,5.8276,7.267,1.1189,0.6116,0.7386,0.7185,0.1126,-0.1377,90.0624,-11.91,27.6821,-22.5428,-215.3238,11.0341,信息技术
300859.SZ,西域旅游,0,1.0,4.33,3.6722,18.0334,21.4193,191.9643,161.6296,4.4286,173.8634,78.1792,79.6717,0.5641,0.2036,9.3494,9.314,9.0561,2.3188,13.2843,44.43,246.3874,32.58,25.1587,652.7668,可选消费
300301.SZ,*ST长方,0,1.0,-50.54,-13.8187,-17.7507,-11.4657,21.9388,-51.0889,-40.3451,-15.7352,4.1365,7.222,1.8662,0.7785,0.7171,0.4995,0.2767,-0.1199,68.8994,-6.22,35.0462,-17.3725,-84.0966,45.1391,信息技术
300167.SZ,*ST迪威,0,1.0,-50.09,-22.0648,-53.5898,-52.0313,25.6912,-45.3701,-38.3287,-28.1053,1.1017,5.1408,0.5562,0.4117,1.396,1.2837,0.17,0.023,57.299,3.03,-5.5948,22.2064,-49.8076,74.5231,信息技术
300338.SZ,*ST开元,0,1.0,-171.8,-34.1674,-49.5982,-51.6005,9.4892,41.272,-93.5837,40.2729,15.5019,42.6207,2.8171,0.6889,0.2193,0.2139,0.0989,-0.0071,97.4315,-0.79,1.5987,-63.866,-110.9794,2.6363,可选消费
300427.SZ,红相股份,0,1.0,-36.84,-14.1118,-44.3086,-43.9084,-9.1026,-377.9448,-32.456,-338.9657,1.6999,2.1215,0.6349,0.3185,1.6416,1.2756,0.5922,0.1166,57.5962,12.19,-27.4548,24.2264,6.4596,73.6224,工业
300029.SZ,ST天龙,0,1.0,-28.98,-1.7467,-1.4523,-0.289,161.1302,85.6844,-20.8859,94.4776,2.8448,5.675,1.469,1.2027,0.9763,0.9423,0.0866,-0.0501,95.581,-4.79,331.2772,-2.2588,-319.8872,4.6233,信息技术
300313.SZ,ST天山,0,1.0,-21.08,-3.4741,-28.1495,-26.0471,-33.8824,-1309.7826,-32.8062,-253.0359,5.8699,2.688,0.8733,0.1234,0.2409,0.2006,0.152,-0.0489,86.4309,-32.47,128.4165,-64.5318,-42.4287,15.6994,日常消费
300555.SZ,ST路通,0,1.0,-2.57,-1.8716,-7.8001,-11.5819,2.2898,-465.9627,-2.0524,-1051.2259,0.7722,2.3429,0.2936,0.2399,4.0813,3.5947,1.4772,-0.2913,20.033,-23.84,281.8385,61.088,31.9228,399.1774,信息技术
