证券代码,交易日期,日开盘价,日最高价,日最低价,日收盘价,日个股交易股数,日个股交易金额,涨跌幅,换手率(流通股数)(%)
300385,2020-01-02,12.18,12.35,12.11,12.17,1906820,23371194.4,0.004955,1.569398
300385,2020-01-03,12.26,12.34,12.02,12.13,1362060,16558264.4,-0.003287,1.121036
300385,2020-01-06,12.1,12.25,12,12.18,1539439,18702560.83,0.004122,1.267027
300385,2020-01-07,12.18,12.29,12.12,12.28,1676539,20457124.62,0.00821,1.379866
300385,2020-01-08,12.19,12.29,12.01,12.03,1391500,16919780.8,-0.020358,1.145266
300385,2020-01-09,12.15,12.23,12.03,12.2,1350000,16401912.8,0.014131,1.11111
300385,2020-01-10,12.23,12.26,12.14,12.18,944123,11514329.17,-0.001639,0.777055
300385,2020-01-13,12.23,12.24,12,12.2,1212120,14703351.68,0.001642,0.997629
300385,2020-01-14,12.2,12.49,12.13,12.43,2950248,36421639.44,0.018852,2.428185
300385,2020-01-15,12.34,12.38,12.07,12.14,2208748,26900108.92,-0.023331,1.817898
300385,2020-01-16,12.14,12.45,12.12,12.21,1928643,23661606.22,0.005766,1.587359
300385,2020-01-17,12.16,12.29,12.1,12.12,1446163,17592261.41,-0.007371,1.190256
300385,2020-01-20,12.1,12.18,12.04,12.16,1207380,14609173.6,0.0033,0.993727
300385,2020-01-21,12.28,12.28,12.06,12.08,1162640,14122854.2,-0.006579,0.956904
300385,2020-01-22,11.96,12.15,11.87,12.08,1435500,17227968.77,0.0,1.18148
300385,2020-01-23,12.05,12.06,10.87,11.34,2233703,25928780.61,-0.061258,1.838437
300385,2020-02-03,10.21,10.21,10.21,10.21,432000,4410720,-0.099647,0.355555
300385,2020-02-04,9.19,9.98,9.19,9.67,3150056,30577997.36,-0.052889,2.592636
300385,2020-02-05,9.85,10.23,9.73,10,2856367,28542518.71,0.034126,2.350917
300385,2020-02-06,10.04,10.73,9.94,10.58,2989421,31235837.14,0.058,2.460426
300385,2020-02-07,10.55,11.64,10.42,11.64,4444688,48982881.65,0.100189,3.658176
300385,2020-02-10,12.5,12.8,12.2,12.8,16064174,204647795.02,0.099656,13.221529
300385,2020-02-11,12,12.3,11.52,11.63,12960804,152561382.47,-0.091406,10.667318
300385,2020-02-12,11.37,11.79,11.37,11.68,5862927,67938855.66,0.004299,4.825449
300385,2020-02-13,11.66,12.85,11.2,12.85,12700376,154980070.61,0.100171,10.452974
300385,2020-02-14,13.15,13.95,12.85,13.4,21512728,289021402.63,0.042802,17.705931
300385,2020-02-17,13.37,14.52,12.86,14.04,17990162,245227155.37,0.047761,14.806703
300385,2020-02-18,13.71,13.87,13.38,13.57,11520328,156389942.48,-0.033476,9.481742
300385,2020-02-19,13.3,13.48,12.95,13.16,9579251,126503650.86,-0.030214,7.884149
300385,2020-02-20,13.08,13.65,12.92,13.44,8940519,118751463.52,0.021277,7.358444
300385,2020-02-21,13.32,13.38,13.09,13.14,6741731,89059999.54,-0.022321,5.548744
300385,2020-02-24,13.18,13.85,13.18,13.54,9201667,124693018.25,0.030441,7.573381
300385,2020-02-25,13.1,13.4,12.62,13.18,8211244,107381214,-0.026588,6.758219
300385,2020-02-26,12.87,13.5,12.65,13.06,6457344,84667013.28,-0.009105,5.314681
300385,2020-02-27,13.17,14.37,13.16,14.37,18120717,256010176.19,0.100306,14.914155
