证券代码,交易日期,日开盘价,日最高价,日最低价,日收盘价,日个股交易股数,日个股交易金额,涨跌幅,换手率(流通股数)(%)
300008,2021-01-04,5.99,6.68,5.97,6.34,91439602,579030992.21,0.112281,12.30251
300008,2021-01-05,6.36,6.77,6.35,6.48,89734837,588601250.23,0.022082,12.073146
300008,2021-01-06,6.42,7.47,6.19,7.22,145326324,1011950266.62,0.114198,19.552562
300008,2021-01-07,7.08,7.53,6.82,7.25,121040294,866887212.8,0.004155,16.28506
300008,2021-01-08,7.26,7.26,6.72,6.76,82887897,573141532.08,-0.067586,11.151942
300008,2021-01-11,6.96,7.11,6.55,6.64,66422123,454809953.52,-0.017751,8.936596
300008,2021-01-12,6.5,6.98,6.43,6.71,61362423,416551270.02,0.010542,8.255852
300008,2021-01-13,6.66,6.72,6.35,6.37,60348108,389580635.54,-0.050671,8.119383
300008,2021-01-14,6.32,6.33,5.85,6.01,55188098,333555042.83,-0.056515,7.425143
300008,2021-01-15,6.2,6.23,5.91,6.04,37222252,224864977.84,0.004992,5.007974
300008,2021-01-18,6.1,6.44,6.04,6.24,47756113,299203897.08,0.033113,6.425225
300008,2021-01-19,6.36,6.39,6.14,6.27,45660776,285587255.32,0.004808,6.143314
300008,2021-01-20,6.2,6.29,6.05,6.14,35510003,218335241.15,-0.020734,4.777603
300008,2021-01-21,6.16,6.24,6.07,6.16,33770377,207817665.15,0.003257,4.54355
300008,2021-01-22,6.14,6.14,5.9,5.94,40324300,241911285,-0.035714,5.425331
300008,2021-01-25,6.05,6.18,5.96,6,37704212,228527951.66,0.010101,5.072818
300008,2021-01-26,4.8,5.71,4.8,5.12,96375866,494733459.7,-0.146667,12.966647
300008,2021-01-27,5,5.87,4.97,5.61,89815283,486536537.25,0.095703,12.08397
300008,2021-01-28,5.58,5.58,5.15,5.21,57796650,309328406.5,-0.071301,7.776104
300008,2021-01-29,5.31,5.37,4.89,4.97,45674594,229570919.16,-0.046065,6.145173
300008,2021-02-01,5.04,5.15,4.98,5.02,28810778,145482321.9,0.01006,3.876273
300008,2021-02-02,5.19,5.28,5.1,5.15,34808840,180096707.02,0.025896,4.683267
300008,2021-02-03,5.07,5.13,4.98,4.99,27364891,137543889.83,-0.031068,3.68174
300008,2021-02-04,4.95,5.09,4.86,5,26682587,132745339.31,0.002004,3.589941
300008,2021-02-05,5.02,5.13,4.91,4.91,22149864,110651693.54,-0.018,2.980097
300008,2021-02-08,4.89,4.92,4.68,4.68,26535095,126166659.84,-0.046843,3.570097
300008,2021-02-09,4.66,4.91,4.56,4.84,30324093,144805198.58,0.034188,4.079878
300008,2021-02-10,4.88,4.92,4.78,4.8,20759175,100167906.25,-0.008264,2.792991
300008,2021-02-18,4.88,5.05,4.87,4.99,27895009,138874135.12,0.039583,3.753063
300008,2021-02-19,5.02,5.32,4.98,5.31,44373997,230019460.88,0.064128,5.970187
300008,2021-02-22,5.44,5.71,5.37,5.44,59672870,329524263.51,0.024482,8.028535
300008,2021-02-23,5.4,5.79,5.21,5.66,67214699,374234341.08,0.040441,9.043232
300008,2021-02-24,5.98,6.1,5.66,5.75,71262199,418353050.19,0.015901,9.587792
300008,2021-02-25,5.63,5.94,5.61,5.64,51832519,298134889,-0.01913,6.973675
300008,2021-02-26,5.51,5.68,5.42,5.51,38814264,214532217.62,-0.02305,5.222167
300008,2021-03-01,5.48,5.65,5.47,5.56,30181381,167580024.29,0.009074,4.060678
300008,2021-03-02,5.57,5.59,5.35,5.43,30488678,165712899.14,-0.023381,4.102022
300008,2021-03-03,5.4,5.55,5.32,5.5,31061830,168688386.1,0.012891,4.179135
300008,2021-03-04,5.45,5.64,5.4,5.44,41127850,227644122.1,-0.010909,5.533442
300008,2021-03-05,5.4,5.77,5.29,5.68,55464206,309633295.7,0.044118,7.462291
300008,2021-03-08,5.62,5.72,5.42,5.46,42850800,238764939.5,-0.038732,5.765252
300008,2021-03-09,5.46,5.48,5.03,5.19,35799102,187485548.12,-0.049451,4.8165
300008,2021-03-10,5.27,5.29,5.05,5.06,21414452,109472960.7,-0.025048,2.881153
300008,2021-03-11,5.05,5.28,5,5.21,23231302,119834946.22,0.029644,3.125597
300008,2021-03-12,5.22,5.28,5.14,5.19,19406200,100783320,-0.003839,2.610958
300008,2021-03-15,5.24,5.46,5.18,5.39,34958850,186493050.5,0.038536,4.70345
300008,2021-03-16,5.39,5.5,5.28,5.41,25892702,139187969.68,0.003711,3.483668
300008,2021-03-17,5.38,5.57,5.35,5.47,33638373,183960019.88,0.011091,4.52579
300008,2021-03-18,5.43,5.47,5.32,5.35,28005467,150451280.42,-0.021938,3.767925
300008,2021-03-19,5.29,5.68,5.26,5.56,61806175,341135683.87,0.039252,8.315555
300008,2021-03-22,5.5,5.61,5.46,5.55,40723552,224602383.46,-0.001799,5.479047
300008,2021-03-23,5.52,5.54,5.32,5.33,33430107,179933261.74,-0.03964,4.497769
300008,2021-03-24,5.3,5.4,5.18,5.19,23883500,125381414.31,-0.026266,3.213345
300008,2021-03-25,5.12,5.3,5.12,5.15,17934209,93424948.85,-0.007707,2.412913
300008,2021-03-26,5.18,5.22,5.13,5.16,26593847,137340881.4,0.001942,3.578002
300008,2021-03-29,5.17,5.26,5.13,5.17,32620853,169161890.03,0.001938,4.38889
300008,2021-03-30,5.17,5.42,5.11,5.29,47851532,254115139.36,0.023211,6.438063
300008,2021-03-31,5.25,5.25,5.06,5.09,32131700,164218229,-0.037807,4.323078
300008,2021-04-01,5.09,5.11,5.02,5.07,20424867,103461261.69,-0.003929,2.748012
300008,2021-04-02,5.08,5.13,5.02,5.09,14649103,74387230.18,0.003945,1.970926
300008,2021-04-06,5.15,5.54,5.14,5.33,55454249,295527072.17,0.047151,7.460952
300008,2021-04-07,5.29,5.47,5.26,5.35,43421580,232334715.9,0.003752,5.842047
300008,2021-04-08,5.37,5.37,5.21,5.21,31054292,163962318.76,-0.026168,4.178121
300008,2021-04-09,5.22,5.3,5.17,5.21,21165150,110716322,0.0,2.847612
300008,2021-04-12,5.21,5.24,5.08,5.11,21095450,108599243,-0.019194,2.838234
300008,2021-04-13,5.12,5.17,5.03,5.1,16113350,81980527.5,-0.001957,2.16793
300008,2021-04-14,5.09,5.15,5.07,5.14,15575890,79750018.69,0.007843,2.095619
300008,2021-04-15,5.15,5.22,5.07,5.15,22722435,117028446.93,0.001946,3.057132
300008,2021-04-16,5.13,5.3,5.11,5.26,30863490,160724817.15,0.021359,4.15245
300008,2021-04-19,5.24,5.32,5.21,5.28,35630474,187793736.77,0.003802,4.793812
300008,2021-04-20,5.25,5.57,5.23,5.44,65515848,354092854.18,0.030303,8.814664
300008,2021-04-21,5.4,5.42,5.29,5.3,37250723,198657129.86,-0.025735,5.011804
300008,2021-04-22,5.3,5.44,5.28,5.33,28136895,150672977.15,0.00566,3.785607
