证券代码,交易日期,日开盘价,日最高价,日最低价,日收盘价,日个股交易股数,日个股交易金额,涨跌幅,换手率(流通股数)(%)
300859,2021-01-04,20,20.43,19.76,20.09,3270200,65541784.28,-0.007411,8.439226
300859,2021-01-05,19.91,20.21,19.68,19.9,2081243,41353486.26,-0.009457,5.37095
300859,2021-01-06,19.91,19.91,18.81,18.81,2704400,51781487.08,-0.054774,6.979097
300859,2021-01-07,18.52,18.84,16.93,17.11,4680690,82461836.26,-0.090377,12.0792
300859,2021-01-08,16.9,17.48,16.48,16.77,3599492,61247470.88,-0.019871,9.289012
300859,2021-01-11,16.61,16.73,15.67,15.93,4090469,65636420.05,-0.050089,10.556049
300859,2021-01-12,15.95,16.78,15.59,15.65,3974103,63828597.95,-0.017577,10.25575
300859,2021-01-13,15.56,15.7,14.6,14.63,4372906,65631394.3,-0.065176,11.284919
300859,2021-01-14,14.95,15.65,14.68,15.25,5826712,88572346.9,0.042379,15.036676
300859,2021-01-15,15.3,16.17,14.9,15.93,6169606,97111825.3,0.04459,15.921564
300859,2021-01-18,15.87,16.27,15.7,15.81,4266633,68145509.76,-0.007533,11.010666
300859,2021-01-19,15.78,17.31,15.78,16.4,5988500,99025892.5,0.037318,15.454194
300859,2021-01-20,16.39,16.74,16.04,16.07,4179698,68225426.6,-0.020122,10.786317
300859,2021-01-21,15.85,16.38,15.61,16.08,3340106,53782477.08,0.000622,8.619628
300859,2021-01-22,16.11,17,16.1,16.17,5039092,83174765.83,0.005597,13.004108
300859,2021-01-25,15.8,15.94,15.31,15.71,3958292,61802978.84,-0.028448,10.214947
300859,2021-01-26,15.7,17.28,15.52,16.34,5920512,98122652.52,0.040102,15.278741
300859,2021-01-27,16.3,17.88,16.1,17.5,7092612,121065095.58,0.070991,18.303515
300859,2021-01-28,17.12,17.9,16.95,17,5023700,87328526,-0.028571,12.964387
300859,2021-01-29,14.91,16.3,14.02,14.79,12432513,185372065.01,-0.13,32.083905
300859,2021-02-01,14.11,15.69,14.11,14.9,7833669,117588552.43,0.007437,20.21592
300859,2021-02-02,15.35,16.5,15.12,15.35,6288374,99357045.67,0.030201,16.228062
300859,2021-02-03,15.67,15.9,14.63,14.71,5007997,75654317.38,-0.041694,12.923863
300859,2021-02-04,14.41,14.6,13.7,14.14,4620243,65123353.49,-0.038749,11.923208
300859,2021-02-05,14.29,16.97,14.25,16.97,10622896,168936772,0.200141,27.413925
300859,2021-02-08,17.08,19.89,16.5,17.58,15664304,287250714.14,0.035946,40.42401
300859,2021-02-09,16.07,17.83,16.07,17.29,12515396,212649757.13,-0.016496,32.297796
300859,2021-02-10,17.52,19.45,17.29,18.06,10668705,195982437.81,0.044534,27.532142
300859,2021-02-18,19.14,19.5,17.92,18.23,10523949,195005243.63,0.009413,27.158578
300859,2021-02-19,18.25,20,17.7,19.43,10384754,196442533.36,0.065826,26.799365
300859,2021-02-22,19.51,20.65,18.89,19.27,10581649,208308720.8,-0.008235,27.307481
300859,2021-02-23,19.22,21.2,19.16,21,10071743,201924515.35,0.089777,25.991595
300859,2021-02-24,20.61,22.65,20.27,20.81,12286508,262862984.67,-0.009048,31.707117
300859,2021-02-25,20.68,21.4,19.35,19.5,8954145,180023114.16,-0.062951,23.107471
300859,2021-02-26,18.98,20.58,18.82,19.6,6838065,135947462.38,0.005128,17.646619
300859,2021-03-01,19.45,20.7,19.17,20.37,7039561,141978384.88,0.039286,18.166609
300859,2021-03-02,20.23,21.21,19.83,20.34,7283633,148853264.29,-0.001473,18.796472
300859,2021-03-03,19.96,20.77,19.92,20.27,5559012,112774092.88,-0.003441,14.345837
300859,2021-03-04,20.3,21.65,20.22,21.21,8569361,179706772.19,0.046374,22.11448
300859,2021-03-05,21,22.11,20.63,20.69,7037849,149413372.63,-0.024517,18.162191
300859,2021-03-08,20.7,21.21,19.29,19.46,6675743,135266267.83,-0.059449,17.227724
300859,2021-03-09,19.45,23.35,19.02,23.35,14655249,319114712.57,0.199897,37.819997
300859,2021-03-10,22.15,24.52,21.7,22.61,16794960,384813118.32,-0.031692,43.341832
300859,2021-03-11,22.35,24.25,22.18,23.45,13463247,315314150.41,0.037152,34.743863
300859,2021-03-12,23.48,26.4,23.01,25.8,14684236,367993016.58,0.100213,37.894803
300859,2021-03-15,25,30.92,24.82,30.9,17689113,500213901.17,0.197674,45.649324
300859,2021-03-16,29.57,32.5,28.68,30.29,17264882,524908518,-0.019741,44.554534
300859,2021-03-17,29.5,32.76,29.5,29.77,15099502,469085089.18,-0.017167,38.966457
300859,2021-03-18,28.96,31.26,28.3,30.32,15843545,472277110.95,0.018475,40.886568
300859,2021-03-19,30.03,31.3,28.8,28.85,11823500,352286302.65,-0.048483,30.512258
300859,2021-03-22,28.8,34.43,27.72,33.1,19038500,566575154,0.147314,49.131613
